# ---------- Simulated data ------------- 
# model R0= 0.200000 
# --------------------------------------- 
# Br(z,th) data
# z followed by pairs of (th,Br) 
 0.187300  # r_probes
 5.000000  # th_step(deg)
 0.005000  # z_step 
  401  # Nz (number of z points) 
  73  # Nt (number of theta points) 
DATA_Z_TH_BR_FldData
  0 
-0.985000 350.000000 -0.000820
-0.985000 355.000000 -0.000416
-0.985000 360.000000 0.000000
  4 
-0.980000 0.000000 0.000000
-0.980000 5.000000 0.000469
-0.980000 10.000000 0.000924
-0.980000 15.000000 0.001351
-0.980000 20.000000 0.001736
-0.980000 25.000000 0.002069
-0.980000 30.000000 0.002339
-0.980000 35.000000 0.002537
-0.980000 40.000000 0.002659
-0.980000 45.000000 0.002700
-0.980000 50.000000 0.002659
-0.980000 55.000000 0.002537
-0.980000 60.000000 0.002339
-0.980000 65.000000 0.002069
-0.980000 70.000000 0.001736
-0.980000 75.000000 0.001351
-0.980000 80.000000 0.000924
-0.980000 85.000000 0.000469
-0.980000 90.000000 -0.000000
-0.980000 95.000000 -0.000469
-0.980000 100.000000 -0.000924
-0.980000 105.000000 -0.001351
-0.980000 110.000000 -0.001736
-0.980000 115.000000 -0.002069
-0.980000 120.000000 -0.002339
-0.980000 125.000000 -0.002537
-0.980000 130.000000 -0.002659
-0.980000 135.000000 -0.002700
-0.980000 140.000000 -0.002659
-0.980000 145.000000 -0.002537
-0.980000 150.000000 -0.002339
-0.980000 155.000000 -0.002069
-0.980000 160.000000 -0.001736
-0.980000 165.000000 -0.001351
-0.980000 170.000000 -0.000924
-0.980000 175.000000 -0.000469
-0.980000 180.000000 0.000000
-0.980000 185.000000 0.000469
-0.980000 190.000000 0.000924
-0.980000 195.000000 0.001351
-0.980000 200.000000 0.001736
-0.980000 205.000000 0.002069
-0.980000 210.000000 0.002339
-0.980000 215.000000 0.002537
-0.980000 220.000000 0.002659
-0.980000 225.000000 0.002700
-0.980000 230.000000 0.002659
-0.980000 235.000000 0.002537
-0.980000 240.000000 0.002339
-0.980000 245.000000 0.002069
-0.980000 250.000000 0.001736
-0.980000 255.000000 0.001351
-0.980000 260.000000 0.000924
